Local Government Name:,Website URL:,Mailing Address:,Alternate Address:,Mailing City:,Mailing State:,Mailing Zip:,LGID:,Local Government Type:,County:
Homestead Ranch Metropolitan District No. 3,www.homesteadranchmds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67166,Metropolitan Districts,Weld
Homestead Ranch Metropolitan District No. 4,www.homesteadranchmds.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67167,Metropolitan Districts,Weld
"Hooper, Town of",,PO Box 1,,Hooper,CO,81136,02005,Statutory Towns,Alamosa
Hoover Hill Water & Sanitation District,www.hhwsd.org,PO Box 16532,,Golden,CO,80402,07015,Water & Sanitation Districts,Boulder
Horizon Drive Association Business Improvement District,www.horizondrivedistrict.com,"743 Horizon Court, Suite 323",,Grand Junction,CO,81506,65371,Business Improvement Districts,Mesa
Horizon Metropolitan District No. 1,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65595,Metropolitan Districts,Arapahoe
Horizon Metropolitan District No. 10,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65604,Metropolitan Districts,Arapahoe
Horizon Metropolitan District No. 2,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65596,Metropolitan Districts,Arapahoe
Horizon Metropolitan District No. 3,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65597,Metropolitan Districts,Arapahoe
Horizon Metropolitan District No. 4,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65598,Metropolitan Districts,Arapahoe
Horizon Metropolitan District No. 5,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65599,Metropolitan Districts,Arapahoe
Horizon Metropolitan District No. 6,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65600,Metropolitan Districts,Arapahoe
Horizon Metropolitan District No. 7,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65601,Metropolitan Districts,Arapahoe
Horizon Metropolitan District No. 8,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65602,Metropolitan Districts,Arapahoe
Horizon Metropolitan District No. 9,www.horizonmds.org/,550 W Eisenhower Blvd,,Loveland,CO,80537,65603,Metropolitan Districts,Arapahoe
Horse Creek Metropolitan District,horsecreekmd.colorado.gov,"141 Union Boulevard., Ste 150",,Lakewood,CO,80228-1898,65289,Metropolitan Districts,Douglas
Horse Creek Metropolitan District,horsecreekmd.org,"3900 E. Mexico Ave, #300",Fritsche Law LLC,Denver,CO,80210,65178,Metropolitan Districts,Adams
Horse Creek Metropolitan District Crestwood Estates Subdistrict,,"3900 East Mexico Avenue, Suite 300",c/o Fritsche Law LLC,Denver,CO,80210,67996,Subdistrict of Special District,Adams
Horse Creek Metropolitan District Subdistrict,,"1331 17th Street, Suite 500","c/o Norton & Smith, P.C.",Denver,CO,80202-1555,66998,Subdistrict of Special District,Adams
Horse Mountain Ranch Metropolitan District,horsemountainranchmd.live,"28 2nd St, Unit 213",,Edwards,CO,81632,19056,Metropolitan Districts,Eagle
Horseshoe Ridge Metropolitan District No. 1,hsrmd.specialdistrict.org/,"1700 Lincoln Street, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203-4554,65501,Metropolitan Districts,Douglas
Horseshoe Ridge Metropolitan District No. 2,hsrmd.specialdistrict.org/,"1700 Lincoln Street, Ste 200",c/o Spencer Fane LLP,Denver,CO,80203,65502,Metropolitan Districts,Douglas
Horseshoe Ridge Metropolitan District No. 3,hsrmd.specialdistrict.org/,"1700 Lincoln St, Ste 2000",c/o Spencer Fane LLP,Denver,CO,80203,65503,Metropolitan Districts,Douglas
"Hot Sulphur Springs, Town of",www.hotsulphurspringsco.com/,PO Box 116,513 Aspen Street,Hot Sulphur Springs,CO,80451,25015,Statutory Towns,Grand
Hot Sulphur Springs-Parshall Fire Protection District,www.hotsulphurfire.com,PO Box 45,,Hot Sulphur Springs,CO,80451,25016,Fire Protection Districts,Grand
Hotchkiss Cemetery District,,50 Samuel Wade Road,,Paonia,CO,81428,15018,Cemetery Districts,Delta
Hotchkiss Fire District,,PO Box 522,,Hotchkiss,CO,81419,15010,Fire Protection Districts,Delta
"Hotchkiss, Town of",townofhotchkiss.colorado.gov,PO Box 369,,Hotchkiss,CO,81419,15020,Statutory Towns,Delta
Housing Authority of the City and County of Denver,,PO Box 40305,,Denver,CO,80204,16003,Housing Authorities (Municipal),Denver
Housing Authority of the City of Englewood,,"3460 South Sherman Street, Suite 101",,Englewood,CO,80110,03088,Housing Authorities (Municipal),Arapahoe
Housing Catalyst,,1715 West Mountain Avenue,,Fort Collins,CO,80521,35052,Housing Authorities (Municipal),Larimer
Hudson Fire Protection District,hudsonfirecolo.com,PO Box 7,,Hudson,CO,80642,62027,Fire Protection Districts,Weld
Hudson Hills Metropolitan District,hudsonhillsmetrodistrict.com/,"390 Union Boulevard, Ste 400",c/o Collins Cockrel & Cole PC,Lakewood,CO,80228,65238,Metropolitan Districts,Weld
Hudson Housing Authority,,PO Box 237,Farm And Home Lumber,Hudson,CO,80642,62068,Housing Authorities (Municipal),Weld
"Hudson, Town of",www.hudsoncolorado.org/,PO Box 351,,Hudson,CO,80642,62029,Statutory Towns,Weld
Huerfano County,www.huerfano.us,"401 Main Street, #206",,Walsenburg,CO,81089-2045,28002,Counties,Huerfano
Huerfano County Federal Mineral Lease District,colorado.gov/hcfmld,"401 Main Street, Suite 101",c/o Huerfano County,Walsenburg,CO,81089,66538,Federal Mineral Lease Districts,Huerfano
Huerfano County Fire Protection District,huerfanofire.org,PO Box 1204,,Walsenburg,CO,81089,28017,Fire Protection Districts,Huerfano
Huerfano County Hospital District,www.sprhc.org,23500 U.S. Highway 160,c/o Huerfano Medical Center,Walsenburg,CO,81089,28003,Health Service Districts (Hospital),Huerfano
Huerfano County Housing Authority,,"401 Main Street, Suite 201",c/o Huerfano County,Walsenburg,CO,81089,28013,County Housing Authorities,Huerfano
Huerfano County Revitalization Authority,,"401 Main Street, Suite 201",c/o Huerfano County,Walsenburg,CO,81089,68269,County Revitalization Authorities,Huerfano
Huerfano County Water Conservancy District,www.hcwcd.net,P.O. Box 1213,,LaVeta,CO,81055,28004,Water Conservancy Districts,Huerfano
Huerfano Parks and Recreation District,,P.O. Box 1201,,Walsenburg,CO,81089,65065,Park & Recreation Districts,Huerfano
Huerfano RE-1 School District,www.huerfano.k12.co.us/,611 West 7th Street,,Walsenburg,CO,81089,28900,School Districts,Huerfano
Hugo Fire Protection District,www.hugofire.org,PO Box 85,,Hugo,CO,80821,66974,Fire Protection Districts,Lincoln
Hugo Housing Authority,,PO Box 305,,Hugo,CO,80821,37012,Housing Authorities (Municipal),Lincoln
"Hugo, Town of",www.townhugo.com/,PO Box 367,,Hugo,CO,80821-0367,37006,Statutory Towns,Lincoln
Hunters Overlook Metropolitan District No. 1,homd.specialdistrict.org/,PO Box 630588,"c/o Fromm & Company, LLC",Highlands Ranch,CO,80163,66799,Metropolitan Districts,Weld
Hunters Overlook Metropolitan District No. 2,homd.specialdistrict.org/,PO Box 630588,"c/o Fromm & Company, LLC",Highlands Ranch,CO,80163,66800,Metropolitan Districts,Weld
Hunters Overlook Metropolitan District No. 3,homd.specialdistrict.org/,PO Box 630588,"c/o Fromm & Company, LLC",Highlands Ranch,CO,80163,66801,Metropolitan Districts,Weld
Hunters Overlook Metropolitan District No. 4,homd.specialdistrict.org/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,66802,Metropolitan Districts,Weld
Hunters Overlook Metropolitan District No. 5,homd.specialdistrict.org/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,66803,Metropolitan Districts,Weld
Hunters Overlook Metropolitan District No. 6,homd.specialdistrict.org/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,66804,Metropolitan Districts,Weld
Hunters Overlook Metropolitan District No. 7,homd.specialdistrict.org/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,66805,Metropolitan Districts,Weld
Hunters Overlook Metropolitan District No. 8,homd.specialdistrict.org/,PO Box 630588,c/o Fromm & Company LLC,Highlands Ranch,CO,80163,66806,Metropolitan Districts,Weld
Hunting Hill Metropolitan District,huntinghillmd.colorado.gov/,"4725 S Monaco Street, Ste 360","c/o Icenogle Seaver Pogue, PC",Denver,CO,80237,65901,Metropolitan Districts,Douglas
Huntington Trails Metropolitan District,huntingtontrailsmetrodistrict.com/,"390 Union Boulevard, Suite 400","c/o Cockrel Ela Glesne Greher & Ruhland, PC",Denver,CO,80228,01085,Metropolitan Districts,Adams
Hurley Place Commercial Metropolitan District,www.hurleyplacedistricts.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67063,Metropolitan Districts,Denver
Hurley Place Residential Metropolitan District,www.hurleyplacedistricts.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67064,Metropolitan Districts,Denver
Huron Landing Authority,,PO Box 168,c/o Town of Breckenridge,Breckenridge,CO,80424,66773,Intergovernmental Authorities (separate legal entity),Summit
Hygiene Fire Protection District,hygienefire.org,PO Box 83,,Hygiene,CO,80533,07016,Fire Protection Districts,Boulder
Hyland Hills Park and Recreation District,www.hylandhills.org,8801 N. Pecos Street,,Federal Heights,CO,80260,01013,Park & Recreation Districts,Adams
Hyland Village Metropolitan District,hylandvillagemd.colorado.gov,"141 Union Boulevard, Ste 150","c/o Special District Management Services, Inc",Lakewood,CO,80228-1898,65801,Metropolitan Districts,Jefferson
I-25/Prospect Interchange Metropolitan District,www.i25prospectinterchangemd.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67050,Metropolitan Districts,Larimer
INOVA Aero Metropolitan District,inovaaeromd.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,67539,Metropolitan Districts,Arapahoe
"Idaho Springs, City of",cityofidahosprings.colorado.gov,PO Box 907,1711 Miner Street,Idaho Springs,CO,80452,10008,Statutory Cities,Clear Creek
Idalia RJ-3 School District,www.idaliaco.us/,PO Box 40,,Idalia,CO,80735,64958,School Districts,"Kit Carson, Yuma"
Idalia Sanitation District,,PO Box 12,,Idalia,CO,80735,63020,Sanitation Districts,Yuma
Idledale Water and Sanitation District,idledalewater.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,30041,Water & Sanitation Districts,Jefferson
Ignacio 11 JT School District,www.ignacio.k12.co.us,PO Box 460,,Ignacio,CO,81137,64931,School Districts,"La Plata, Archuleta"
Ignacio Community Library District,www.ignaciolibrary.org/,470 Goddard Avenue,,Ignacio,CO,81137,34038,Library Districts,La Plata
Ignacio Housing Authority,,PO Box 459,,Ignacio,CO,81137,68042,Housing Authorities (Municipal),La Plata
"Ignacio, Town of",www.colorado.gov/pacific/ignacio,PO Box 459,,Ignacio,CO,81137,34015,Statutory Towns,La Plata
Ignacio-Allison-Oxford Cemetery District,,P.O. Box 157,,Ignacio,CO,81137,34016,Cemetery Districts,La Plata
Iliff Avenue Metropolitan District,iliffavenuemd.org,"3900 E. Mexico Ave., #300",c/o Fritsche Law LLC,Denver,CO,80210,67058,Metropolitan Districts,Arapahoe
Iliff Commons Metropolitan District No. 2,iliffcommonsmd2.colorado.gov,"7400 E. Orchard Road, Ste 3300","c/o Seter, Vander Wall, & Mielke PC",Greenwood Village,CO,80111,65668,Metropolitan Districts,Arapahoe
Iliff Commons Metropolitan District No. 3,iliffcommonsmd3.colorado.gov/,"2154 E Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,65669,Metropolitan Districts,Arapahoe
Iliff Irrigation District,,PO Box 333,,Sterling,CO,80751,38006,Irrigation Districts (Irrigation Drainage),Logan
"Iliff, Town of",,PO Box 194,,Iliff,CO,80736,38007,Statutory Towns,Logan
Independence Commercial Metropolitan District,www.independencemd1-6.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67900,Metropolitan Districts,Elbert
Independence Metropolitan District No. 1,www.independencemd1-6.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66870,Metropolitan Districts,Elbert
Independence Metropolitan District No. 2,www.independencemd1-6.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66871,Metropolitan Districts,Elbert
Independence Metropolitan District No. 3,www.independencemd1-6.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66872,Metropolitan Districts,Elbert
Independence Metropolitan District No. 4,www.independencemd1-6.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66873,Metropolitan Districts,Elbert
Independence Metropolitan District No. 5,www.independencemd1-6.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67901,Metropolitan Districts,Elbert
Independence Metropolitan District No. 6,www.independencemd1-6.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,67902,Metropolitan Districts,Elbert
Independence Overlay Metropolitan District,www.independenceoverlaymd.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66874,Metropolitan Districts,Elbert
Independence Water & Sanitation District,www.independencewsd.org/,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,66875,Water & Sanitation Districts,Elbert
Indian Hills Fire Protection District,www.ihfr.org,PO Box 750,,Indian Hills,CO,80454,30042,Fire Protection Districts,Jefferson
Indian Hills Water District,indianhillswater.colorado.gov/,PO Box 710,,Indian Hills,CO,80454,30043,Water Districts,Jefferson
Indian Mountain Metropolitan District,indianmountain.info,PO Box 25,,Como,CO,80432,47008,Metropolitan Districts,Park
Indian Peaks Fire Protection District,,PO Box 205,,Ward,CO,80481-0205,07017,Fire Protection Districts,Boulder
Indiana Marketplace Business Improvement District,,PO Box 2479,"c/o Ditz Brothers, LLC",Eagle,ID,83616-9118,66027,Business Improvement Districts,Jefferson
Indiana Valley Metropolitan District,indianavalleymd.colorado.gov,"7400 East Orchard Road, Ste 3300","c/o Seter & Vander Wall, P.C.",Greenwood Village,CO,80111,65037,Metropolitan Districts,Jefferson
Industrial Park Water & Sanitation District,www.industrialparkwsd.org,6625 East 49th Avenue,,Commerce City,CO,80022,01014,Water & Sanitation Districts,Adams
Indy Oak TOD Metropolitan District,www.colorado.gov/indyoaktodmd,"141 Union Boulevard, #150","c/o Special District Management Services, Inc.",Lakewood,CO,80228,66794,Metropolitan Districts,Jefferson
Inspiration Metropolitan District,inspirationmetro.org,"7555 E. Hampden Ave., Suite 501",c/o Public Alliance LLC,Denver,CO,80231,65064,Metropolitan Districts,Douglas
Interlocken Consolidated Metropolitan District,,"1873 S. Bellaire Street, Ste 1401",c/o Nemkov Brunger Bonifazi McLeod PLLC,Denver,CO,80222,07060,Metropolitan Districts,"Broomfield, Boulder"
Interpark Metropolitan District,interparkmetrodistrict.specialdistrict.org/,"450 E 17th Avenue, Ste 400",c/o McGeady Becher Cortese Williams P.C.,Denver,CO,80203-1254,66835,Metropolitan Districts,Broomfield
Interquest North Business Improvement District,www.interquestnorthbid.com/,111 S. Tejon Street Suite 705,c/o CliftonLarsonAllen LLP,Colorado Springs,CO,80903,65314,Business Improvement Districts,El Paso
Interquest South Business Improvement District,www.interquestsouthbid.com/,"121 S. Tejon St., Suite 1100",c/o CliftonLarsonAllen LLP ,Colorado Springs,CO,80903,65315,Business Improvement Districts,El Paso
Interquest Town Center Business Improvement District,interquesttowncenterbid.com/,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203-4554,66846,Business Improvement Districts,El Paso
Inverness Metropolitan Improvement District,invernessmetro.org,"58 Inverness Drive East, #100","c/o Mulhern MRE, Inc",Englewood,CO,80112,64079,Metropolitan Districts,"Arapahoe, Douglas"
Inverness North Metropolitan District,www.invernessnorthmd.com,1700 Lincoln St Ste 2000,c/o Spencer Fane LLP,Denver,CO,80203-4538,65473,Metropolitan Districts,Arapahoe
Inverness Water & Sanitation District,www.invernesswater.org,"58 Inverness Drive East, #100","c/o Mulhern MRE, Inc",Englewood,CO,80112,64080,Water & Sanitation Districts,"Arapahoe, Douglas"
Iron Mountain Metropolitan District No. 1,ironmountainmd.com,"2154 E. Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,65706,Metropolitan Districts,Weld
Iron Mountain Metropolitan District No. 2,ironmountainmd.com,"2154 E. Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,65707,Metropolitan Districts,Weld
Iron Mountain Metropolitan District No. 3,ironmountainmd.com,"2154 E. Commons Avenue, Ste 2000",c/o White Bear Ankele Tanaka & Waldron,Centennial,CO,80122,65708,Metropolitan Districts,Weld
Iron Works Village Metropolitan District,ironworksvillagemd.colorado.gov,"2154 E Commons Avenue, Ste 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,66764,Metropolitan Districts,Arapahoe
JDV Metropolitan District,www.jdvmd.com/,"2619 Canton Court, Suite A",Centennial Consulting Group,Fort Collins,CO,80525,66969,Metropolitan Districts,Weld
Jackson County,jacksoncounty.colorado.gov/,PO Box 1019,,Walden,CO,80480,29001,Counties,Jackson
Jackson County Water Conservancy District,,P.O. Box 1019,,Walden,CO,80480,29002,Water Conservancy Districts,Jackson
Jackson Creek Commercial Metropolitan District No. 1,jacksoncreekcommercialmds.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203,67371,Metropolitan Districts,El Paso
Jackson Creek Commercial Metropolitan District No. 2,jacksoncreekcommercialmds.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203,67372,Metropolitan Districts,El Paso
Jackson Creek Commercial Metropolitan District No. 3,jacksoncreekcommercialmds.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203,67373,Metropolitan Districts,El Paso
Jackson Creek Commercial Metropolitan District No. 4,jacksoncreekcommercialmds.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203,67374,Metropolitan Districts,El Paso
Jackson Creek Commercial Metropolitan District No. 5,jacksoncreekcommercialmds.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203,67375,Metropolitan Districts,El Paso
Jackson Creek Commercial Metropolitan District No. 6,jacksoncreekcommercialmds.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203,67376,Metropolitan Districts,El Paso
Jackson Creek Commercial Metropolitan District No. 7,jacksoncreekcommercialmds.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203,67377,Metropolitan Districts,El Paso
Jackson Creek North Metropolitan District,jacksoncreeknorthmd.com,"1700 Lincoln Street, Suite 2000","c/o Spencer Fane, LLP",Denver,CO,80203,67009,Metropolitan Districts,El Paso
Jackson-105 Fire Protection District,,435 N Perry Park Road,,Sedalia,CO,80135,18019,Fire Protection Districts,Douglas
Jacoby Farm Metropolitan District,www.jacobyfarmmd.org/,"2619 Canton Court, Ste A",,Fort Collins,CO,80525,62109,Metropolitan Districts,Weld
James Irwin Collaborative,www.jamesirwin.org/leadership/meeting-dates,5525 Astrozon Boulevard,,Colorado Springs,CO,80916,67844,Charter Schools,El Paso
James Madison Charter Academy,www.jmcacolorado.net,660 Syracuse Street,,Colorado Springs,CO,80911-2546,67891,Charter Schools,El Paso
"Jamestown, Town of",jamestownco.org/,PO Box 298,,Jamestown,CO,80455,07018,Statutory Towns,Boulder
Jay Grove Metropolitan District,jaygrovemetrodistrict.com/,"390 Union Boulevard, Suite 400","c/o Collins Cockrel & Cole, P.C.",Denver,CO,80228-1556,66990,Metropolitan Districts,Boulder
Jeffco Business Center Metropolitan District No. 1,jeffcobusinesscentermd1.colorado.gov/,"141 Union Boulevard, Ste 150","c/o Special District Management Services, Inc",Lakewood,CO,80228-1898,30147,Metropolitan Districts,"Broomfield, Jefferson"
Jefferson Academy,www.jajags.com,9955 Yarrow Street,,Broomfield,CO,80021-4048,67882,Charter Schools,Jefferson
Jefferson Center Metropolitan District No. 1,jeffersoncentermd1.colorado.gov,"141 Union Boulevard, Ste 150","c/o Special District Management Services, Inc",Lakewood,CO,80228-1898,30119,Metropolitan Districts,Jefferson
Jefferson Center Metropolitan District No. 2,jeffersoncentermd2.colorado.gov,"141 Union Boulevard, Ste 150","c/o Special District Management Services, Inc",Lakewood,CO,80228-1898,65264,Metropolitan Districts,Jefferson
Jefferson Conservation District,www.jeffersoncd.com,"10799 W. Alameda Avenue, #261205",,Lakewood,CO,80226,30046,Conservation Districts (Soil),"Clear Creek, Jefferson"
Jefferson County,jeffco.us/meetings,100 Jefferson County Pkwy Ste 5500,,Golden,CO,80401,30047,Counties,Jefferson
Jefferson County Communications Center Authority,www.jeffcom911.org,433 S allison Parkway Ste 228,,Lakewood,CO,80226,66763,Intergovernmental Authorities (separate legal entity),Jefferson
Jefferson County Emergency Communications Authority,jceca.org,"433 South Allison Parkway, Suite 244",,Lakewood,CO,80226,30128,Emergency Telephone Service (911 Authorities),Jefferson
Jefferson County Hazardous Substance Response Authority,,PO Box 746570,,Arvada,CO,80006,30145,Intergovernmental Authorities (separate legal entity),Jefferson
Jefferson County Housing Authority,www.foothillsrh.org/meetings-and-agendas.html,7490 W 45th Ave,,Wheat Ridge,CO,80033,30064,County Housing Authorities,Jefferson
Jefferson County Law Enforcement Authority,,"100 Jefferson County Parkway, Suite 4570",,Golden,CO,80419,30045,Law Enforcement Authorities,Jefferson
Jefferson County R-1 School District,www.jeffcopublicschools.org/,P O Box 4001,,Golden,CO,80401,30900,School Districts,"Broomfield, Jefferson"
Jefferson Parkway Public Highway Authority,www.jpphauthority.org,PO Box 1108,,Arvada,CO,80001-1108,66151,Public Highway Authorities,"Broomfield, Jefferson"
Jefferson-Como Fire Protection District,www.jcfpd.org,PO Box 30,,Como,CO,80432,47009,Fire Protection Districts,Park
John C. Fremont Library District,www.jcfld.org,130 Church Avenue,,Florence,CO,81226,65367,Library Districts,Fremont
Johnstown Farms East Metropolitan District,johnstownfarmseastmetro.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67350,Metropolitan Districts,Weld
Johnstown Farms Metropolitan District,johnstownfarmsmetro.com/,"2154 E. Commons Ave., Suite 2000",,Centennial,CO,80122,65953,Metropolitan Districts,Weld
Johnstown Housing Authority,,202 North Greeley Avenue,,Johnstown,CO,80534,62069,Housing Authorities (Municipal),Weld
Johnstown North Metropolitan District No. 1,johnstownnorthmd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,65695,Metropolitan Districts,Larimer
Johnstown North Metropolitan District No. 2,johnstownnorthmd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,65696,Metropolitan Districts,Larimer
Johnstown North Metropolitan District No. 3,johnstownnorthmd.live,550 W Eisenhower Boulevard,"c/o Pinnacle Consulting Group, Inc",Loveland,CO,80537,65697,Metropolitan Districts,Larimer
Johnstown Plaza Metropolitan District,johnstownplazamd.live,550 W Eisenhower Boulevard,c/o Pinnacle Consulting Group,Loveland,CO,80537,66655,Metropolitan Districts,Larimer
Johnstown Village Metropolitan District No. 1,,"390 Union Boulevard, Ste 400",,Denver,CO,80228,67135,Metropolitan Districts,Weld
Johnstown Village Metropolitan District No. 2,www.johnstownvillagemd2.org/,c/o Centennial Consulting Group 2619 Canton Court,Suite A,Fort Collins,CO,80525,67136,Metropolitan Districts,Weld
Johnstown Village Metropolitan District No. 3,johnstownvillagemd3.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67137,Metropolitan Districts,Weld
Johnstown Village Metropolitan District No. 4,johnstownvillagemd4.com,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67138,Metropolitan Districts,Weld
Johnstown Village Metropolitan District No. 5,,"390 Union Boulevard, Ste 400",,Denver,CO,80228,67139,Metropolitan Districts,Weld
"Johnstown, Town of",johnstown.colorado.gov,PO Box 609,,Johnstown,CO,80534,64266,Home Rule Municipalities,"Weld, Larimer"
Johnstown-Milliken RE-5J School District,www.weldre5j.k12.co.us,"110 S Centennial Drive, Suite A",,Milliken,CO,80543,64952,School Districts,"Weld, Larimer"
Jones District Community Authority Board,JonesMetroDistricts.com,"8390 East Crescent Parkway, Suite 300","c/o Clifton Larson Allen, LLP",Greenwood Village,CO,80111,67291,Intergovernmental Authorities (separate legal entity),Arapahoe
Jones Metropolitan District No. 1,JonesMetroDistricts.com,"8390 E Crescent Parkway, Ste 300",c/o CliftonLarsonAllen LLP,Greenwood Village,CO,80111,67282,Metropolitan Districts,Arapahoe
Jones Metropolitan District No. 2,www.jonesmetrodistricts.com/,"8390 E Crescent Parkway, Ste 300",c/o CliftonLarsonAllen LLP,Greenwood Village,CO,80111,67283,Metropolitan Districts,Arapahoe
Jones Metropolitan District No. 3,www.jonesmetrodistricts.com/,"8390 E Crescent Parkway, Ste 300",c/o CliftonLarsonAllen LLP,Greenwood Village,CO,80111,67284,Metropolitan Districts,Arapahoe
Jones Metropolitan District No. 4,www.jonesmetrodistricts.com/,"8390 E Crescent Parkway, Ste 300",c/o CliftonLarsonAllen LLP,Greenwood Village,CO,80111,67285,Metropolitan Districts,Arapahoe
Jones Metropolitan District No. 5,JonesMetroDistricts.com,"8390 E Crescent Parkway, Ste 300","c/o CliftonLarsonAllen, LLP",Greenwood Village,CO,80111,67286,Metropolitan Districts,Arapahoe
Jordan Crossing Metropolitan District,jordancrossingmd.specialdistrict.org/,"141 Union Boulevard, Suite 150","c/o Special District Management Services, Inc",Lakewood,CO,80228-1898,65556,Metropolitan Districts,Douglas
Julesburg Cemetery District,,114 West 1st Street,,Julesburg,CO,80737,58002,Cemetery Districts,Sedgwick
Julesburg Fire Protection District,,615 W 6th St,,Julesburg,CO,80737,58003,Fire Protection Districts,Sedgwick
Julesburg Housing Authority,,520 W 9th St,,Julesburg,CO,80737,58016,Housing Authorities (Municipal),Sedgwick
Julesburg Irrigation District,,315 Cedar Street,,Julesburg,CO,80737,58014,Irrigation Districts (Irrigation Drainage),Sedgwick
Julesburg RE-1 School District,www.julesburg.org/,102 West 6th Street,,Julesburg,CO,80737,64950,School Districts,"Phillips, Sedgwick"
"Julesburg, Town of",townofjulesburg.com,100 West 2nd Street,,Julesburg,CO,80737,58004,Statutory Towns,Sedgwick
Juniper Water Conservancy District,,P.O. Box 205,,Maybell,CO,81640,41006,Water Conservancy Districts,Moffat
KIPP Colorado Public Schools,kippcolorado.org/,"1390 Lawrence Street, Suite 200",,Denver,CO,80204,67892,Charter Schools,Denver
Karl's Farm Metropolitan District No. 1,karlsfarmmetrodistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67186,Metropolitan Districts,Adams
Karl's Farm Metropolitan District No. 2,karlsfarmmetrodistrict.com/,"2154 East Commons Avenue, Suite 2000","c/o White Bear Ankele Tanaka & Waldron, P.C.",Centennial,CO,80122-1880,67187,Metropolitan Districts,Adams
